user,item
11,2329
11,72998
11,32587
11,34405
11,4370
11,8961
11,37386
11,4886
11,3986
11,8861
14,6539
14,318
14,588
14,4973
14,1028
14,919
14,2571
14,527
14,1035
14,1198
18,2959
18,296
18,4226
18,5995
18,50
18,46578
18,4235
18,1193
18,2571
18,4306
25,150
25,1923
25,608
25,4973
25,4226
25,2762
25,1270
25,1
25,47
25,2329
31,68954
31,78499
31,68358
31,81847
31,2959
31,54286
31,6377
31,69122
31,318
31,79132
35,4306
35,33794
35,44191
35,48394
35,2959
35,5952
35,48774
35,58559
35,48516
35,4878
43,4993
43,4973
43,527
43,2858
43,593
43,5952
43,8961
43,4995
43,4226
43,7153
50,50
50,4993
50,527
50,2329
50,6016
50,1682
50,858
50,4995
50,4878
50,4226
58,50
58,593
58,1674
58,150
58,4995
58,2762
58,457
58,2571
58,608
58,1246
60,4973
60,4226
60,356
60,5618
60,50
60,2571
60,2329
60,6539
60,4878
60,4306
61,4979
61,356
61,6711
61,318
61,56367
61,2959
61,44195
61,50
61,32587
61,2571
65,2858
65,2571
65,68954
65,4878
65,296
65,527
65,2329
65,58559
65,6016
65,32
72,318
72,4306
72,1
72,50
72,2959
72,1270
72,527
72,2762
72,1246
72,1193
77,1136
77,4226
77,2858
77,4993
77,593
77,2571
77,296
77,2959
77,318
77,527
82,68157
82,69122
82,2858
82,50872
82,64839
82,527
82,2571
82,44555
82,296
82,72998
85,527
85,4973
85,914
85,1203
85,2571
85,68954
85,2959
85,318
85,79132
85,912
90,589
90,527
90,780
90,1270
90,2959
90,1721
90,2571
90,1198
90,588
90,6539
91,7361
91,1784
91,4973
91,2858
91,6218
91,6539
91,318
91,1246
91,527
91,4306
96,69757
96,80463
96,7502
96,68157
96,50
96,63082
96,78499
96,81845
96,79702
96,56367
98,63082
98,69122
98,7153
98,7502
98,73017
98,70286
98,78499
98,4993
98,2959
98,318
99,527
99,293
99,4973
99,1089
99,50
99,4226
99,2571
99,1193
99,6016
99,32
102,50
102,2858
102,1198
102,7361
102,1193
102,858
102,7153
102,356
102,593
102,527
116,780
116,2502
116,2762
116,150
116,44191
116,4306
116,4226
116,593
116,4963
116,8961
121,1136
121,7153
121,2571
121,318
121,2329
121,1517
121,34162
121,2502
121,2858
121,356
124,377
124,1784
124,3996
124,1721
124,2329
124,1625
124,733
124,480
124,6539
124,527
129,63082
129,296
129,71535
129,318
129,7361
129,60069
129,356
129,70286
129,58559
129,2959
132,2918
132,2571
132,47
132,750
132,1265
132,6377
132,527
132,1
132,1961
132,2174
133,858
133,74458
133,70286
133,527
133,48394
133,72998
133,46578
133,6016
133,81845
133,63082
135,1270
135,480
135,2959
135,593
135,2028
135,8360
135,4963
135,588
135,364
135,318
136,2959
136,81845
136,318
136,76093
136,72998
136,69122
136,98809
136,70286
136,79091
136,2571
147,4306
147,2918
147,6539
147,1682
147,1080
147,356
147,527
147,2858
147,750
147,1197
152,2571
152,356
152,318
152,7153
152,5445
152,1265
152,32
152,8961
152,1682
152,1
154,318
154,593
154,480
154,46578
154,32
154,2997
154,8961
154,4973
154,5989
154,5418
155,1136
155,2329
155,527
155,356
155,593
155,2959
155,47
155,318
155,6377
155,541
162,79132
162,5952
162,32
162,7361
162,527
162,296
162,318
162,50
162,2959
162,68954
163,48516
163,593
163,50
163,2329
163,2571
163,296
163,49272
163,51662
163,3578
163,44191
168,858
168,3949
168,527
168,356
168,318
168,4973
168,50
168,2997
168,2571
168,541
175,1270
175,3578
175,527
175,2959
175,1198
175,780
175,590
175,480
175,110
175,4226
182,59369
182,51662
182,70286
182,2959
182,79132
182,59315
182,69122
182,296
182,68157
182,77561
189,4886
189,2959
189,6539
189,7153
189,588
189,58559
189,6377
189,4306
189,593
189,2571
190,293
190,7153
190,50
190,60069
190,4226
190,356
190,593
190,2997
190,527
190,296
201,7323
201,2858
201,924
201,750
201,27266
201,6016
201,2997
201,4973
201,6711
201,4226
204,527
204,2762
204,50
204,4973
204,318
204,1270
204,2858
204,2329
204,593
204,2571
205,7361
205,8961
205,593
205,4226
205,2858
205,318
205,2762
205,4973
205,4886
205,150
206,5418
206,6539
206,4973
206,33679
206,4306
206,5991
206,4025
206,318
206,6155
206,2571
208,34542
208,608
208,30749
208,79132
208,39183
208,7361
208,60766
208,6711
208,55276
208,296
209,593
209,296
209,527
209,2571
209,64614
209,2762
209,110
209,2959
209,79132
209,58559
211,1
211,4973
211,480
211,1198
211,588
211,110
211,4963
211,6874
211,47
211,50
213,2959
213,593
213,296
213,4306
213,69122
213,79132
213,78499
213,58559
213,68157
213,79091
215,356
215,32
215,50
215,778
215,2329
215,79132
215,318
215,750
215,593
215,1682
218,4776
218,4226
218,6539
218,527
218,4878
218,858
218,46578
218,7361
218,54286
218,1682
220,296
220,7361
220,4878
220,33794
220,318
220,2571
220,32
220,2959
220,4226
220,50
232,7361
232,527
232,356
232,1682
232,480
232,1
232,47
232,6377
232,588
232,4886
237,2329
237,1208
237,6377
237,1225
237,1214
237,750
237,50
237,924
237,1193
237,541
239,2959
239,2571
239,31658
239,3751
239,33794
239,318
239,5971
239,45517
239,616
239,2291
241,2019
241,58559
241,4878
241,527
241,4226
241,2858
241,2959
241,1214
241,7361
241,4973
248,69122
248,64614
248,858
248,81845
248,593
248,47
248,63082
248,4995
248,69757
248,3949
252,1136
252,1201
252,356
252,1208
252,750
252,47
252,1617
252,858
252,912
252,527
254,4306
254,293
254,4993
254,593
254,527
254,1136
254,356
254,5952
254,7153
254,2762
258,6548
258,6377
258,2959
258,33679
258,480
258,1917
258,356
258,7143
258,780
258,5218
264,318
264,2858
264,6539
264,4973
264,296
264,527
264,356
264,8961
264,480
264,1136
266,2571
266,4306
266,2959
266,4886
266,1198
266,356
266,4973
266,2762
266,3578
266,8961
271,60069
271,4995
271,4878
271,34405
271,480
271,72998
271,1580
271,5618
271,2858
271,318
279,72998
279,6377
279,4973
279,2858
279,7669
279,4246
279,79132
279,68954
279,8961
279,81845
284,2959
284,4226
284,1214
284,7153
284,5952
284,32
284,4306
284,858
284,293
284,4993
285,4306
285,68954
285,81845
285,8368
285,593
285,1270
285,2959
285,6539
285,72998
285,480
294,3578
294,1580
294,2174
294,58559
294,589
294,2762
294,50
294,5618
294,2657
294,1653
304,69122
304,63082
304,527
304,72998
304,2329
304,60069
304,70286
304,7153
304,593
304,59315
312,50
312,318
312,527
312,5418
312,858
312,4226
312,49272
312,593
312,648
312,54286
313,2959
313,296
313,318
313,6377
313,356
313,4886
313,2858
313,7153
313,2571
313,4226
316,3578
316,6377
316,2858
316,318
316,4226
316,1580
316,8961
316,32
316,1270
316,589
317,32
317,356
317,4226
317,47
317,4306
317,1270
317,296
317,1527
317,780
317,318
318,2959
318,72998
318,68237
318,68954
318,318
318,70286
318,71535
318,68358
318,99114
318,4226
337,51255
337,527
337,35836
337,45722
337,7254
337,7445
337,47
337,2329
337,6016
337,6378
340,46578
340,48394
340,56367
340,44191
340,4878
340,60069
340,57669
340,858
340,356
340,593
342,7361
342,44555
342,593
342,296
342,60069
342,541
342,4226
342,2858
342,55820
342,79132
348,61236
348,71579
348,6791
348,59018
348,27815
348,46976
348,60950
348,1235
348,8873
348,44195
351,296
351,5618
351,2329
351,2959
351,2571
351,318
351,7153
351,50
351,593
351,6016
359,318
359,48394
359,56367
359,44195
359,4226
359,50872
359,2959
359,58295
359,60069
359,7361
361,2858
361,150
361,4306
361,356
361,4886
361,589
361,4973
361,1198
361,7361
361,47
367,2858
367,1580
367,1527
367,1089
367,48780
367,32
367,318
367,5445
367,527
367,110
370,82459
370,69757
370,84152
370,69122
370,104841
370,63082
370,4878
370,92259
370,68954
370,7361
372,608
372,4993
372,356
372,1136
372,7361
372,527
372,2997
372,1213
372,778
372,1193
375,2858
375,318
375,50
375,4973
375,4306
375,356
375,6711
375,2959
375,46578
375,7361
379,50
379,589
379,4226
379,150
379,593
379,2959
379,318
379,296
379,527
379,356
383,296
383,79132
383,2571
383,4995
383,2959
383,58559
383,2858
383,2329
383,318
383,593
387,47
387,7361
387,50
387,6539
387,1193
387,32587
387,16
387,1258
387,2571
387,32
388,778
388,8874
388,50
388,356
388,4993
388,5952
388,6539
388,7153
388,7361
388,858
394,3911
394,2997
394,4226
394,296
394,48385
394,56367
394,4973
394,3996
394,750
394,54286
395,4878
395,2571
395,6539
395,79132
395,58559
395,593
395,318
395,4306
395,356
395,296
398,64614
398,60069
398,81845
398,72998
398,68157
398,70286
398,527
398,68954
398,593
398,4226
407,7361
407,50
407,1225
407,1193
407,296
407,4995
407,2858
407,593
407,150
407,4973
409,1197
409,4995
409,5445
409,2959
409,296
409,1682
409,33794
409,593
409,527
409,5418
413,4306
413,1136
413,26131
413,31658
413,2324
413,5995
413,6016
413,8873
413,3030
413,4235
419,344
419,2329
419,2959
419,1923
419,296
419,318
419,8807
419,58559
419,2571
419,46578
421,780
421,527
421,1682
421,5952
421,4963
421,356
421,4011
421,2858
421,593
421,1610
422,4306
422,2959
422,480
422,8644
422,5618
422,3793
422,33794
422,150
422,32
422,3996
425,80463
425,89904
425,44555
425,1213
425,541
425,7502
425,356
425,55820
425,527
425,2858
427,1198
427,1270
427,1961
427,356
427,3897
427,1225
427,4306
427,4226
427,2571
427,527
430,4993
430,318
430,527
430,7153
430,5952
430,593
430,2858
430,2959
430,3578
430,370
431,296
431,60069
431,2329
431,70286
431,68157
431,58559
431,68954
431,63082
431,47
431,593
436,2762
436,2571
436,2959
436,318
436,356
436,4886
436,8961
436,480
436,1270
436,4226
440,4995
440,50
440,70286
440,4226
440,60069
440,8961
440,780
440,150
440,318
440,33493
442,79132
442,2329
442,318
442,527
442,2959
442,593
442,2858
442,58559
442,4226
442,6016
448,318
448,50
448,4878
448,2959
448,1258
448,1193
448,6440
448,1265
448,2858
448,593
451,4235
451,608
451,32
451,44555
451,7361
451,5618
451,3949
451,46578
451,1199
451,5617
455,3949
455,44555
455,50
455,6016
455,7361
455,2959
455,2571
455,46578
455,4878
455,318
457,6539
457,48394
457,4878
457,6016
457,260
457,6377
457,1682
457,2028
457,110
457,1
459,7502
459,92259
459,296
459,2959
459,80463
459,70286
459,82459
459,68954
459,74458
459,72998
462,1
462,4995
462,1580
462,2329
462,5445
462,296
462,150
462,110
462,4226
462,260
466,58559
466,4973
466,2959
466,79132
466,5618
466,2858
466,356
466,2571
466,318
466,8360
469,527
469,6016
469,2959
469,4973
469,7361
469,30749
469,2858
469,2571
469,44555
469,318
471,8340
471,1961
471,593
471,150
471,527
471,356
471,3147
471,4995
471,1198
471,1193
482,1270
482,2858
482,2571
482,2762
482,63082
482,79132
482,780
482,527
482,588
482,4306
485,527
485,68954
485,593
485,7361
485,2329
485,2959
485,296
485,4306
485,2858
485,50
486,597
486,318
486,1035
486,150
486,1197
486,4886
486,1270
486,1198
486,356
486,527
492,33794
492,1193
492,924
492,8961
492,4886
492,3996
492,6711
492,356
492,2291
492,50
500,79132
500,44555
500,2329
500,260
500,1201
500,293
500,1196
500,5995
500,1225
500,2019
503,527
503,2329
503,50
503,318
503,5445
503,296
503,7361
503,48516
503,780
503,44191
504,2959
504,2571
504,296
504,318
504,50
504,3996
504,904
504,1225
504,593
504,6377
505,4878
505,46578
505,70286
505,50
505,60069
505,2858
505,7361
505,48394
505,50872
505,72998
508,293
508,1961
508,1682
508,3996
508,6711
508,7153
508,2329
508,4993
508,4886
508,33794
512,33794
512,4993
512,1961
512,1527
512,2959
512,527
512,1270
512,4226
512,1580
512,4995
520,4226
520,31685
520,344
520,2028
520,56174
520,2329
520,3578
520,72378
520,356
520,318
521,59315
521,593
521,4226
